player,position,team,birth_year,minutes_90s,tackles,tackles_won,blocks,interceptions,clearances
Kamal Miller,DF,Canada,1997,3,6,4,1,4,11
Kamaldeen Sulemana,FW,Ghana,2002,0.6,0,0,0,0,2
Kamil Glik,DF,Poland,1988,4,2,1,2,3,23
Kamil Grosicki,MF,Poland,1988,0,0,0,0,0,0
Kaoru Mitoma,MF,Japan,1997,1.8,7,2,4,2,5
Karim Ansarifard,FW,IR Iran,1990,0.4,0,0,1,1,0
Karim Boudiaf,MF,Qatar,1990,2.1,2,1,0,0,3
Karl Toko Ekambi,FW,Cameroon,1992,1.8,1,1,1,2,0
Karol Świderski,FW,Poland,1997,0.5,4,1,0,2,0
Kasper Dolberg,FW,Denmark,1997,1.3,1,1,0,0,1
Kasper Schmeichel,GK,Denmark,1986,3,0,0,0,0,0
Keanu Baccus,MF,Australia,1998,1.3,1,1,5,2,1
Kellyn Acosta,MF,United States,1995,0.5,3,2,0,0,0
Kendall Waston,DF,Costa Rica,1988,2.5,7,4,2,5,14
Kenneth Taylor,MF,Netherlands,2002,0.1,0,0,0,0,0
Kevin De Bruyne,FW,Belgium,1991,3,1,1,2,0,3
Kevin Rodríguez,FW,Ecuador,2000,0,,0,,0,
Kevin Álvarez,DF,Mexico,1999,0.8,1,0,2,1,2
Keylor Navas,GK,Costa Rica,1986,3,1,0,0,1,2
Keysher Fuller,DF,Costa Rica,1994,2.8,4,4,2,3,9
Kieffer Moore,FW,Wales,1992,2.5,1,0,3,2,7
Kieran Trippier,DF,England,1990,2.3,6,4,3,1,4
Kim Jin-su,DF,Korea Republic,1992,3.5,10,5,2,3,5
Kim Min-jae,DF,Korea Republic,1996,3,2,1,5,2,8
Kim Moonhwan,DF,Korea Republic,1995,4,9,4,3,4,16
Kim Seung-gyu,GK,Korea Republic,1990,4,0,0,0,2,2
Kim Young-gwon,DF,Korea Republic,1990,3.9,3,2,3,3,11
Kingsley Coman,FW,France,1996,1.9,3,2,3,2,1
Ko Itakura,DF,Japan,1997,3,9,5,1,4,16
Koke,MF,Spain,1992,0.6,1,1,0,0,0
Kristijan Jakić,FW,Croatia,1997,0,0,0,0,0,0
Krystian Bielik,MF,Poland,1998,2.4,5,3,1,5,6
Krzysztof Piątek,FW,Poland,1995,0.3,0,0,0,0,0
Krépin Diatta,FW,Senegal,1999,2,0,0,1,0,0
Kudus Mohammed,FW,Ghana,2000,2.7,5,4,4,1,0
Kwon Chang-hoon,FW,Korea Republic,1994,0.6,1,0,0,0,0
Kwon Kyung-won,DF,Korea Republic,1992,1,0,0,1,2,5
Kye Rowles,DF,Australia,1998,4,8,2,9,7,16
Kyle Walker,DF,England,1990,2.6,3,1,2,3,3
Kylian Mbappé,FW,France,1998,6.6,0,0,0,0,0
Lautaro Martínez,FW,Argentina,1997,2.7,0,0,1,1,0
Lawrence Ati-Zigi,GK,Ghana,1996,3,0,0,0,0,0
Leander Dendoncker,DF,Belgium,1995,1.8,6,3,4,0,5
Leandro Paredes,MF,Argentina,1994,2.5,10,4,0,3,4
Leandro Trossard,FW,Belgium,1994,1.1,1,1,1,0,0
Lee Jae-sung,MF,Korea Republic,1992,2.3,5,2,3,3,2
Lee Kangin,MF,Korea Republic,2001,1.6,4,3,0,0,0
Leon Goretzka,MF,Germany,1995,1.8,5,3,1,1,0
Leroy Sané,FW,Germany,1996,1.2,1,1,2,0,1
Liam Millar,DF,Canada,1999,0.1,0,0,0,0,0
Lionel Messi,FW,Argentina,1987,7.7,5,3,2,0,0
Lisandro Martínez,DF,Argentina,1998,3.4,6,2,3,3,14
Lovro Majer,MF,Croatia,1998,1.4,3,1,1,0,2
Loïs Openda,FW,Belgium,2000,0.1,1,0,1,0,0
Lucas Cavallini,FW,Canada,1992,0.2,0,0,0,0,0
Lucas Hernández,DF,France,1996,0.1,1,1,0,0,0
Lucas Paquetá,MF,Brazil,1997,3.5,7,5,5,2,4
Luis Chávez,MF,Mexico,1996,3,1,0,6,1,3
Luis Suárez,FW,Uruguay,1987,1.6,1,0,0,0,2
Luka Jović,FW,Serbia,1997,0.4,0,0,1,1,0
Luka Modrić,MF,Croatia,1985,7.3,16,10,4,10,3
Lukas Klostermann,DF,Germany,1996,0.7,3,1,0,0,1
Luke Shaw,DF,England,1995,4.7,3,1,2,4,5
Luuk de Jong,FW,Netherlands,1990,0.6,2,1,0,0,1
Majid Hosseini,DF,IR Iran,1996,3,7,4,3,6,11
Manuel Akanji,DF,Switzerland,1995,4,4,2,4,3,12
Manuel Neuer,GK,Germany,1986,3,0,0,0,0,0
Marcelo Brozović,MF,Croatia,1992,6.1,13,7,13,4,7
Marco Asensio,FW,Spain,1996,2.5,1,1,1,0,0
Marcos Acuña,DF,Argentina,1991,4.1,12,8,8,2,9
Marcos Llorente,DF,Spain,1995,1.3,0,0,0,0,0
Marcus Rashford,FW,England,1997,1.6,1,0,2,1,1
Marcus Thuram,FW,France,1997,1.7,3,2,2,0,2
Mario Götze,MF,Germany,1992,0.4,1,0,2,0,0
Mario Pašalić,FW,Croatia,1995,3,7,5,6,3,3
Mark-Anthony Kaye,MF,Canada,1994,0.7,2,1,0,0,0
Marko Grujić,MF,Serbia,1996,0.1,1,1,0,0,1
Marko Livaja,FW,Croatia,1993,2.7,2,2,1,1,1
Marquinhos,DF,Brazil,1994,4.7,5,4,6,2,6
Marten de Roon,MF,Netherlands,1991,2,7,5,4,2,6
Martin Braithwaite,FW,Denmark,1991,1.1,0,0,0,0,0
Martin Hongla,MF,Cameroon,1998,1.3,0,0,2,2,3
Martinelli,FW,Brazil,2001,1.3,2,1,2,0,1
Martín Cáceres,DF,Uruguay,1987,1,0,0,0,0,2
Mason Mount,MF,England,1999,2.1,2,2,2,0,0
Mateo Kovačić,MF,Croatia,1994,7.1,24,17,4,4,5
Matheus Nunes,MF,Portugal,1998,0.8,0,0,1,0,0
Mathew Leckie,MF,Australia,1991,3.7,4,4,5,1,6
Mathew Ryan,GK,Australia,1992,4,0,0,0,0,6
Mathias Jensen,MF,Denmark,1996,0.9,1,0,2,0,0
Mathías Olivera,DF,Uruguay,1997,2.8,9,5,9,2,10
Matt Turner,GK,United States,1994,4,0,0,0,0,1
Matthias Ginter,DF,Germany,1994,0,0,0,0,0,0
Matthijs de Ligt,DF,Netherlands,1999,1,0,0,0,0,4
Matty Cash,DF,Poland,1997,4,4,3,7,0,17
Mattéo Guendouzi,FW,France,1999,0.9,1,1,0,0,0
Matías Vecino,MF,Uruguay,1991,2.2,4,3,6,4,1
Matías Viña,DF,Uruguay,1997,0.2,4,3,0,0,0
Maxi Gómez,FW,Uruguay,1996,0.3,0,0,0,0,0
Maya Yoshida,DF,Japan,1988,4.3,4,4,6,3,24
Mehdi Taremi,FW,IR Iran,1992,3,4,3,5,2,3
Mehdi Torabi,MF,IR Iran,1994,0.7,1,0,1,2,0
Memphis,FW,Netherlands,1994,3.3,1,1,4,1,0
Meshaal Barsham,GK,Qatar,1998,2,0,0,0,0,1
Michael Estrada,FW,Ecuador,1996,2.5,1,0,4,0,0
Michał Skóraś,MF,Poland,2000,0.5,0,0,1,1,0
Michel Aebischer,MF,Switzerland,1997,0.2,0,0,0,0,0
Michy Batshuayi,FW,Belgium,1993,1.7,1,0,1,0,0
Miki Yamane,DF,Japan,1993,0.7,1,0,2,2,0
Mikkel Damsgaard,MF,Denmark,2000,1.7,4,2,2,2,1
Milad Mohammadi,DF,IR Iran,1993,2.2,10,3,2,1,6
Milan Borjan,GK,Canada,1987,3,0,0,0,0,2
Miloš Degenek,DF,Australia,1994,2,6,4,2,1,9
Miloš Veljković,DF,Serbia,1995,2.5,4,1,2,0,7
Mislav Oršić,FW,Croatia,1992,1.8,3,3,2,0,1
Mitchell Duke,FW,Australia,1991,3,0,0,5,2,1
Mohamed Ali Ben Romdhane,MF,Tunisia,1999,0.8,5,4,1,0,0
Mohamed Dräger,DF,Tunisia,1996,1.5,5,3,0,1,4
Mohamed Kanno,MF,Saudi Arabia,1994,3,6,2,3,2,7
Mohammed Al-Breik,DF,Saudi Arabia,1992,0.7,1,0,2,1,4
Mohammed Al-Owais,GK,Saudi Arabia,1991,3,0,0,0,0,4
Mohammed Muntari,FW,Qatar,1993,0.7,2,2,0,0,2
Mohammed Salisu,DF,Ghana,1999,3,2,1,5,3,17
Mohammed Waad,MF,Qatar,1999,0.3,0,0,1,1,1
Moisés Caicedo,MF,Ecuador,2001,3,6,5,4,2,2
Montassar Talbi,DF,Tunisia,1998,3,2,2,7,2,18
Morteza Pouraliganji,DF,IR Iran,1992,3,2,2,5,6,10
Moumi Ngamaleu,FW,Cameroon,1994,1.1,3,1,0,0,0
Munir,GK,Morocco,1989,1,0,0,0,0,0
Musab Kheder,DF,Qatar,1993,0.1,1,1,0,0,0
Na Sang-ho,FW,Korea Republic,1996,1.3,4,1,0,0,2
Nader Ghandri,DF,Tunisia,1995,1,2,2,4,1,4
Nahuel Molina,DF,Argentina,1998,6.3,8,4,7,3,11
Nampalys Mendy,MF,Senegal,1992,3,4,4,4,3,3
Nasser Al-Dawsari,FW,Saudi Arabia,1998,0.1,2,1,0,0,0
Nathan Aké,DF,Netherlands,1995,5.3,6,3,3,8,20
Nathaniel Atkinson,DF,Australia,1999,0.9,4,3,1,1,2
Nawaf Al Abed,MF,Saudi Arabia,1990,1,0,0,0,1,0
Nayef Aguerd,DF,Morocco,1996,3.9,4,2,3,4,12
Naïm Sliti,MF,Tunisia,1992,1.3,3,1,0,0,1
Neco Williams,DF,Wales,2001,2.3,5,3,5,4,5
Nemanja Gudelj,MF,Serbia,1991,1,2,2,2,2,1
Nemanja Maksimović,MF,Serbia,1995,1.4,4,2,3,3,3
Nemanja Radonjić,DF,Serbia,1996,0.7,0,0,0,0,1
Neymar,MF,Brazil,1992,3.1,1,0,2,1,0
Niclas Füllkrug,FW,Germany,1993,0.8,0,0,0,0,0
Nico Elvedi,DF,Switzerland,1996,2,2,0,5,1,13
Nico Schlotterbeck,DF,Germany,1999,1,4,3,2,1,1
Nico Williams,FW,Spain,2002,1.6,4,2,2,0,0
Nicola Zalewski,MF,Poland,2002,0.7,4,0,1,0,0
Nicolas Jackson,FW,Senegal,2001,0.2,0,0,0,0,0
Nicolas Nkoulou,DF,Cameroon,1990,2,2,0,2,5,8
Nicolás De La Cruz,MF,Uruguay,1997,0.4,0,0,0,0,0
Nicolás Otamendi,DF,Argentina,1988,7.7,10,6,6,9,24
Nicolás Tagliafico,DF,Argentina,1992,4.1,7,7,9,9,9
Niklas Süle,DF,Germany,1995,3,5,4,1,0,7
Nikola Milenković,DF,Serbia,1997,3,10,5,6,6,10
Nikola Vlašić,FW,Croatia,1997,2.3,1,1,2,1,0
Noa Lang,MF,Netherlands,1999,0.1,0,0,1,1,1
Noah Okafor,FW,Switzerland,2000,0.5,0,0,1,0,0
Nouhou Tolo,DF,Cameroon,1997,3,8,5,5,6,10
Noussair Mazraoui,DF,Morocco,1997,4.1,14,9,6,1,16
Nuno Mendes,DF,Portugal,2002,0.5,0,0,1,2,0
Néstor Araujo,DF,Mexico,1991,1,1,1,0,3,1
Olivier Giroud,FW,France,1986,4.7,1,0,1,1,5
Olivier Ntcham,MF,Cameroon,1996,0.3,0,0,0,0,1
Orbelín Pineda,MF,Mexico,1996,0.8,4,3,2,0,0
Osman Bukari,MF,Ghana,1998,0.7,0,0,0,1,1
Otávio,MF,Portugal,1995,2.2,7,7,0,1,1
Ousmane Dembélé,FW,France,1997,4.8,11,6,2,3,0
Pablo Sarabia,FW,Spain,1992,0,0,0,0,0,0
Paik Seung-ho,MF,Korea Republic,1997,0.3,3,2,0,0,0
Pape Abou Cissé,DF,Senegal,1995,1.2,0,0,2,2,6
Pape Gueye,MF,Senegal,1999,1.7,4,2,2,2,2
Pape Matar Sarr,MF,Senegal,2002,0.7,3,2,1,0,2
Papu Gómez,MF,Argentina,1988,1.2,2,0,1,1,0
Pathé Ciss,MF,Senegal,1994,1.6,3,3,1,2,4
Pau Torres,DF,Spain,1997,1,0,0,1,0,2
Paulo Dybala,FW,Argentina,1993,0.2,3,1,0,0,1
Pedri,MF,Spain,2002,4,4,2,5,4,3
Pedro,FW,Brazil,1997,0.7,2,2,0,1,0
Pepe,DF,Portugal,1983,4,5,0,6,6,11
Pervis Estupiñán,DF,Ecuador,1998,3,6,3,4,3,6
Phil Foden,FW,England,2000,2.9,1,1,2,1,0
Piero Hincapié,DF,Ecuador,2002,3,7,4,2,2,9
Pierre Højbjerg,MF,Denmark,1995,3,4,2,3,3,6
Pierre Kunde,MF,Cameroon,1995,1.5,4,2,0,4,4
Piotr Zieliński,MF,Poland,1994,3.6,7,5,1,1,7
Przemysław Frankowski,MF,Poland,1995,2.7,7,4,1,3,5
Rafael Leão,FW,Portugal,1999,1,0,0,0,1,0
Raheem Sterling,FW,England,1994,1.7,1,1,1,1,0
Ramin Rezaeian,DF,IR Iran,1990,2,7,5,1,3,2
Randal Kolo Muani,FW,France,1998,2,7,5,1,1,1
Raphaël Guerreiro,DF,Portugal,1993,3.1,3,2,3,3,2
Raphaël Varane,DF,France,1993,5.8,1,0,4,6,15
Raphinha,FW,Brazil,1996,3.5,8,6,3,3,0
Rasmus Nissen,DF,Denmark,1997,2.5,8,7,3,1,7
Raúl Jiménez,FW,Mexico,1991,0.7,0,0,0,1,1
Remo Freuler,MF,Switzerland,1992,3.6,8,5,3,3,3
Renato Steffen,FW,Switzerland,1991,0.4,0,0,1,0,0
Ricardo Horta,FW,Portugal,1994,1.3,2,1,1,1,0
Ricardo Rodríguez,DF,Switzerland,1992,4,7,2,1,0,8
Richarlison,FW,Brazil,1997,3.6,2,2,4,1,4
Richie Laryea,DF,Canada,1995,1.8,3,1,2,0,3
Riley McGree,FW,Australia,1998,2.9,2,1,5,5,3
Ritsu Doan,FW,Japan,1998,2.4,6,5,4,3,2
Riyadh Sharahili,MF,Saudi Arabia,1993,0.6,0,0,1,2,4
Roan Wilson,MF,Costa Rica,2002,0,0,0,1,0,1
Robert Lewandowski,FW,Poland,1988,4,2,2,3,1,8
Robert Skov,DF,Denmark,1996,0.2,0,0,0,0,0
Roberto Alvarado,FW,Mexico,1998,0.2,0,0,0,0,0
Rodri,DF,Spain,1996,4.3,5,2,3,3,9
Rodrigo Bentancur,MF,Uruguay,1997,2.4,9,8,3,7,5
Rodrigo De Paul,MF,Argentina,1994,6.7,11,6,8,7,3
Rodrygo,MF,Brazil,2001,2,4,1,6,2,1
Rogelio Funes Mori,FW,Mexico,1991,0.1,1,0,0,0,0
Romain Saïss,DF,Morocco,1990,5.2,5,2,3,3,30
Romario Ibarra,MF,Ecuador,1994,0.8,0,0,1,1,2
Romelu Lukaku,FW,Belgium,1993,0.6,0,0,0,0,1
Roozbeh Cheshmi,DF,IR Iran,1993,0.6,0,0,1,2,3
Ruben Vargas,FW,Switzerland,1998,3.2,0,0,2,1,4
Rubin Colwill,MF,Wales,2002,0.1,0,0,1,0,0
Ró-Ró,DF,Qatar,1990,2.9,6,4,2,8,3
Rónald Matarrita,DF,Costa Rica,1994,0.3,0,0,1,0,0
Rúben Dias,DF,Portugal,1997,4,4,4,2,3,9
Rúben Neves,MF,Portugal,1997,3,2,1,3,3,5
Saad Al Sheeb,GK,Qatar,1990,1,0,0,0,0,0
Sadegh Moharrami,DF,IR Iran,1996,1,1,1,1,1,3
Saeid Ezatolahi,MF,IR Iran,1996,2.4,6,1,3,2,4
Saleh Al-Shehri,FW,Saudi Arabia,1993,2.5,3,1,3,0,2
Salem Al-Dawsari,MF,Saudi Arabia,1991,3,5,4,1,1,2
Salis Abdul Samed,MF,Ghana,2000,2.8,2,2,2,4,8
Salman Al-Faraj,MF,Saudi Arabia,1989,0.5,1,0,2,0,0
Sam Adekugbe,DF,Canada,1995,1.1,0,0,1,1,1
Saman Ghoddos,MF,IR Iran,1993,0.5,1,0,0,0,0
Sami Al-Najei,MF,Saudi Arabia,1997,0.5,0,0,1,0,0
Samuel Oum Gouet,MF,Cameroon,1997,1.1,1,1,0,0,3
Sardar Azmoun,FW,IR Iran,1995,1.4,0,0,0,0,1
Saud Abdulhamid,DF,Saudi Arabia,1999,3,5,2,3,2,6
Saša Lukić,MF,Serbia,1996,2.7,2,0,2,1,5
Sebastian Szymański,MF,Poland,1999,1.5,6,3,4,2,1
Sebastián Coates,DF,Uruguay,1990,2,1,0,3,1,6
Selim Amallah,MF,Morocco,1996,4.5,13,9,6,8,3
Serge Gnabry,FW,Germany,1995,2.9,5,2,2,2,3
Sergej Milinković-Savić,MF,Serbia,1995,2.6,5,1,5,2,5
Sergio Busquets,MF,Spain,1988,4,7,4,2,1,1
Sergio Rochet,GK,Uruguay,1993,3,0,0,0,0,1
Sergiño Dest,DF,United States,2000,3.4,4,2,3,2,7
Shaquell Moore,DF,United States,1996,0.2,2,2,0,0,3
Shogo Taniguchi,DF,Japan,1991,2.3,1,0,2,1,10
Shūichi Gonda,GK,Japan,1989,4.3,0,0,0,0,1
Silvan Widmer,DF,Switzerland,1993,2.9,10,6,3,2,15
Simon Kjær,DF,Denmark,1989,0.7,0,0,1,5,2
Sofiane Boufal,FW,Morocco,1993,5.3,11,5,9,2,1
Sofyan Amrabat,MF,Morocco,1996,7.3,16,10,2,6,10
Son Heung-min,FW,Korea Republic,1992,4,5,2,2,2,0
Son Jun-ho,MF,Korea Republic,1992,0.8,3,3,3,3,0
Sorba Thomas,MF,Wales,1999,0,1,1,0,0,0
Srđan Babić,DF,Serbia,1996,0.1,1,0,0,0,1
Stefan Mitrović,DF,Serbia,1990,0.4,0,0,0,0,0
Stephen Eustáquio,MF,Canada,1996,1.4,4,2,0,2,6
Steve Mandanda,GK,France,1985,1,0,0,0,0,0
Steven Berghuis,MF,Netherlands,1991,2.2,2,1,1,0,0
Steven Bergwijn,FW,Netherlands,1997,2.4,1,1,2,0,0
Steven Vitória,DF,Canada,1987,3,3,3,4,0,7
Strahinja Pavlović,DF,Serbia,2001,2.6,7,2,6,1,7
Sultan Al-Ghanam,DF,Saudi Arabia,1994,1.4,0,0,3,2,3
Taha Yassine Khenissi,FW,Tunisia,1992,0.3,0,0,0,0,0
Tajon Buchanan,MF,Canada,1999,2.9,1,1,3,3,0
Takefusa Kubo,FW,Japan,2001,1,1,1,3,0,0
Takehiro Tomiyasu,DF,Japan,1998,2.1,0,0,2,0,7
Takuma Asano,FW,Japan,1994,1.8,0,0,0,1,1
Takumi Minamino,FW,Japan,1995,0.7,2,1,0,0,1
Tarek Salman,DF,Qatar,1997,0.1,1,0,0,1,0
Tariq Lamptey,DF,Ghana,2000,1.1,3,1,1,1,4
Teun Koopmeiners,MF,Netherlands,1998,2.4,10,5,2,4,4
Theo Hernández,DF,France,1997,5.6,16,13,5,4,8
Thiago Almada,MF,Argentina,2001,0.1,0,0,0,0,0
Thiago Silva,DF,Brazil,1984,4.3,3,1,3,5,6
Thibaut Courtois,GK,Belgium,1992,3,0,0,0,0,0
Thilo Kehrer,DF,Germany,1996,0.8,6,2,1,3,2
Thomas Delaney,MF,Denmark,1991,0.5,1,1,0,0,1
Thomas Meunier,DF,Belgium,1991,2.3,6,6,1,2,5
Thomas Müller,FW,Germany,1989,2.2,2,2,4,1,0
Thomas Partey,MF,Ghana,1993,3,9,5,8,0,8
Thorgan Hazard,FW,Belgium,1993,1.2,3,2,4,0,0
Tim Ream,DF,United States,1987,4,4,3,2,4,12
Timothy Castagne,DF,Belgium,1995,3,7,4,1,2,4
Timothy Weah,FW,United States,2000,3.5,0,0,5,0,0
Toby Alderweireld,DF,Belgium,1989,3,4,2,3,0,19
Trent Alexander-Arnold,DF,England,1998,0.4,0,0,1,0,0
Tyler Adams,MF,United States,1999,4,11,9,6,4,6
Unai Simón,GK,Spain,1997,4.3,0,0,0,0,2
Uriel Antuna,FW,Mexico,1997,0.9,4,3,1,0,0
Vanja Milinković-Savić,GK,Serbia,1997,3,0,0,0,1,2
Victor Nelsson,DF,Denmark,1998,1,0,0,2,2,1
Vincent Aboubakar,FW,Cameroon,1992,1.6,0,0,0,0,4
Vincent Janssen,FW,Netherlands,1994,1,2,0,2,0,1
Vinicius Júnior,FW,Brazil,2000,3.3,3,1,5,0,0
Virgil van Dijk,DF,Netherlands,1991,5.3,2,1,8,4,21
Vitinha,MF,Portugal,2000,1.3,3,2,0,1,1
Wahbi Khazri,FW,Tunisia,1991,0.9,2,0,0,0,0
Wajdi Kechrida,DF,Tunisia,1995,1.2,3,3,3,0,4
Walid Cheddira,FW,Morocco,1998,0.7,1,0,0,0,2
Walker Zimmerman,DF,United States,1993,3.1,3,2,4,4,15
Wataru Endo,MF,Japan,1993,3.4,8,4,8,3,6
Wayne Hennessey,GK,Wales,1987,1.9,0,0,0,0,0
Weston McKennie,MF,United States,1998,3,2,1,4,0,5
William Carvalho,MF,Portugal,1992,2.4,6,5,2,0,3
William Saliba,DF,France,2001,0.3,0,0,1,0,0
Wojciech Szczęsny,GK,Poland,1990,4,0,0,0,0,4
Wout Weghorst,FW,Netherlands,1992,0.7,0,0,1,0,1
Wéverton,GK,Brazil,1987,0.1,0,0,0,0,0
Xavi Simons,FW,Netherlands,2003,0.1,1,0,0,0,0
Xherdan Shaqiri,FW,Switzerland,1991,2.5,0,0,0,0,0
Yahya Attiat Allah,DF,Morocco,1995,3.5,4,2,4,0,15
Yahya Jabrane,MF,Morocco,1991,0.2,,0,,0,
Yann Sommer,GK,Switzerland,1988,3,0,0,0,0,0
Yannick Carrasco,FW,Belgium,1993,1.3,5,4,2,1,4
Yasser Al-Shahrani,DF,Saudi Arabia,1992,1,3,1,0,6,6
Yassine Bounou,GK,Morocco,1991,6.3,0,0,0,0,5
Yassine Meriah,DF,Tunisia,1993,3,4,2,5,1,20
Yeltsin Tejeda,MF,Costa Rica,1992,3,4,2,7,1,7
Youri Tielemans,MF,Belgium,1997,1.1,3,1,4,2,0
Youssef En-Nesyri,FW,Morocco,1997,6,3,2,5,1,11
Youssef Msakni,MF,Tunisia,1990,1.9,3,1,2,0,1
Youssouf Fofana,MF,France,1999,2.5,8,5,6,3,0
Youssouf Sabaly,DF,Senegal,1993,4,6,6,1,4,9
Youssoufa Moukoko,FW,Germany,2004,0,0,0,0,0,0
Youstin Salas,DF,Costa Rica,1996,0.5,5,1,3,0,1
Yuki Soma,FW,Japan,1997,0.9,2,0,0,0,0
Yunus Musah,MF,United States,2002,3.8,8,6,7,2,1
Yuto Nagatomo,MF,Japan,1986,2.3,4,2,2,0,3
Zakaria Aboukhlal,FW,Morocco,2000,0.9,1,1,2,1,1
Álvaro Morata,FW,Spain,1992,2.1,1,1,2,0,2
Álvaro Zamora,MF,Costa Rica,2002,0.3,2,0,0,1,0
Ángel Correa,MF,Argentina,1995,0.1,1,1,0,0,1
Ángel Di María,MF,Argentina,1988,3.2,3,1,3,1,0
Ángelo Preciado,DF,Ecuador,1998,2.9,7,5,2,6,4
Éder Militão,DF,Brazil,1998,3.9,7,6,1,3,5
Óscar Duarte,DF,Costa Rica,1989,3,4,2,3,6,15
İlkay Gündoğan,MF,Germany,1990,2.1,3,1,2,1,1
